"group"	"reduction_pct"	"name"	"total_ms_1936"	"total_ms_484"	"count_1936"	"count_484"	"time_per_call_ms_1936"	"time_per_call_ms_484"
"G4 < -10% (slower)"	"-23.15"	"ObsFilter::RejectList::preProcess"	"3.99"	"3.24"	"3"	"3"	"1.3307"	"1.0798"
"G4 < -10% (slower)"	"-23.7"	"oops::Localization::Localization"	"5768.99"	"4663.81"	"2"	"2"	"2884.4925"	"2331.9053"
"G4 < -10% (slower)"	"-23.7"	"saber::Localization::Localization"	"5768.96"	"4663.79"	"2"	"2"	"2884.4802"	"2331.8958"
"G4 < -10% (slower)"	"-25"	"oops::LinearObsOper::aircar_airTemperature_133::~Li"	"0.05"	"0.04"	"2"	"2"	"0.0225"	"0.0221"
"G4 < -10% (slower)"	"-25.89"	"ObsFilter::Domain Check::preProcess"	"5.64"	"4.48"	"3"	"3"	"1.8798"	"1.4934"
"G4 < -10% (slower)"	"-29.17"	"oops::ObsOperator::aircar_specificHumidity_133::Obs"	"0.31"	"0.24"	"3"	"3"	"0.1018"	"0.0799"
"G4 < -10% (slower)"	"-31.25"	"oops::ObsOperator::aircar_airTemperature_133::compu"	"0.21"	"0.16"	"5"	"5"	"0.0425"	"0.0314"
"G4 < -10% (slower)"	"-31.37"	"oops::ObsVector::~ObsVector"	"0.67"	"0.51"	"441"	"513"	"0.0015"	"0.001"
"G4 < -10% (slower)"	"-33.91"	"ObsFilter::Bounds Check::preProcess"	"3.87"	"2.89"	"9"	"9"	"0.4298"	"0.3208"
"G4 < -10% (slower)"	"-35.17"	"oops::GeometryData::setMeshAndTriangulation"	"775.09"	"573.43"	"23"	"23"	"33.6994"	"24.9316"
"G4 < -10% (slower)"	"-41.68"	"saber::mgbf::Covariance::Covariance"	"2290.25"	"1616.55"	"2"	"2"	"1145.1275"	"808.2762"
"G4 < -10% (slower)"	"-42.7"	"oops::GetValuePosts::preProcessModelData"	"224.96"	"157.64"	"3"	"3"	"74.9859"	"52.5468"
"G4 < -10% (slower)"	"-50"	"ObsFilter::Final Check::postFilter"	"0.03"	"0.02"	"9"	"9"	"0.0034"	"0.0027"
"G4 < -10% (slower)"	"-50"	"oops::LinearObsOper::aircar_winds_233::requiredVars"	"0.03"	"0.02"	"130"	"154"	"0.0002"	"0.0001"
"G4 < -10% (slower)"	"-50"	"oops::ObsAuxControl::~ObsAuxControl"	"0.03"	"0.02"	"15"	"15"	"0.0017"	"0.0016"
"G4 < -10% (slower)"	"-52.08"	"oops::LinearVariableChange::~LinearVariableChange"	"84.54"	"55.59"	"2"	"2"	"42.2711"	"27.7974"
"G4 < -10% (slower)"	"-56.47"	"ObsFilter::Perform Action::priorFilter"	"658.32"	"420.74"	"31"	"31"	"21.2362"	"13.5721"
