  mype,      init,    upsend,    dnsend,    weight,    hfiltT,     hfilt,    vfiltT,     vfilt,     bocoT,      boco,   filt2an,     aintp,      intp,   an2filt,    output,     total,  multiply,  ifc_mult,   ifc_reg,  ifc_fset,preprocess,anal_to_fi, filtering,filt_to_an,postproces,    icount
    32,    0.0000,   48.0409,   41.5301,   21.9366,  136.1210,  134.8598,   10.8920,   38.7854,   37.5172,   10.8712,    0.0000,    0.0000,    0.0000,  106.7854,    0.0000,    0.0000,  685.2197,  685.4386,    0.0272,    0.0686,   11.2569,  108.5326,  480.9226,   64.2253,   16.1812,      3060
    33,    0.0000,   49.8200,   49.5126,   22.2826,  136.5496,  134.7739,   10.9465,   33.3332,   38.8169,   11.2720,    0.0000,    0.0000,    0.0000,  106.9830,    0.0000,    0.0000,  687.5485,  687.7673,    0.0270,    0.0687,   11.3504,  108.8517,  487.6420,   60.1346,   15.4448,      3060
    34,    0.0000,   50.1494,   53.7890,   21.7177,  136.2967,  134.9697,   10.8416,   34.1108,   37.7887,   11.1779,    0.0000,    0.0000,    0.0000,  105.2295,    0.0000,    0.0000,  688.7889,  689.0069,    0.0262,    0.0687,   11.3360,  107.2593,  491.1893,   60.1066,   14.7902,      3060
    35,    0.0000,   47.4956,   53.2497,   22.7182,  136.0488,  134.7697,   11.2718,   35.3278,   36.4262,   11.1477,    0.0000,    0.0000,    0.0000,  105.9992,    0.0000,    0.0000,  690.2188,  690.4314,    0.0261,    0.0666,   11.8838,  107.8032,  488.7881,   63.3786,   13.4470,      3060
    36,    0.0000,   45.8196,   50.4144,   22.5204,  135.8332,  135.4977,   11.7865,   37.8891,   38.0596,   11.1232,    0.0000,    0.0000,    0.0000,  106.7993,    0.0000,    0.0000,  690.6894,  690.9016,    0.0253,    0.0675,   12.0297,  108.4995,  489.2768,   63.1896,   13.3064,      3060
    37,    0.0000,   49.8814,   48.8857,   22.3050,  136.4555,  135.3957,   11.4890,   34.2228,   38.9122,   11.1201,    0.0000,    0.0000,    0.0000,  106.3626,    0.0000,    0.0000,  690.3091,  690.5205,    0.0265,    0.0647,   11.6678,  108.1820,  489.0013,   63.6505,   13.7342,      3060
    38,    0.0000,   47.3908,   48.7197,   22.4618,  136.3068,  135.6139,   11.6765,   36.3894,   38.3715,   11.1202,    0.0000,    0.0000,    0.0000,  107.0779,    0.0000,    0.0000,  690.5149,  690.7305,    0.0251,    0.0695,   11.8567,  108.8281,  488.4265,   63.0218,   14.2789,      3060
    39,    0.0000,   48.6516,   43.1343,   22.3952,  136.0119,  135.5103,   11.4206,   37.5559,   37.4309,   11.2207,    0.0000,    0.0000,    0.0000,  105.5908,    0.0000,    0.0000,  689.3594,  689.5760,    0.0253,    0.0683,   11.8876,  107.2320,  483.6905,   66.8944,   15.4159,      3060
    40,    0.0000,   44.5839,   45.0728,   18.2065,  135.4665,  132.7808,   10.5800,   49.1067,   35.4608,   10.8262,    0.0000,    0.0000,    0.0000,  105.2262,    0.0000,    0.0000,  675.6905,  675.8989,    0.0273,    0.0632,   10.5357,  106.7737,  482.3648,   55.7263,   17.0073,      3060
    41,    0.0000,   53.3795,   41.7869,   18.9038,  135.7792,  133.1870,   10.5291,   32.4075,   41.9424,   11.0062,    0.0000,    0.0000,    0.0000,  103.0785,    0.0000,    0.0000,  665.2987,  665.5155,    0.0265,    0.0671,   10.4012,  105.1326,  479.2161,   46.6401,   20.9044,      3060
    42,    0.0000,   54.2983,   46.6824,   20.8907,  135.5580,  133.7290,   10.7215,   32.4681,   39.4419,   10.9788,    0.0000,    0.0000,    0.0000,  101.9693,    0.0000,    0.0000,  682.0212,  682.2329,    0.0262,    0.0664,   10.4987,  103.6784,  485.0841,   64.4052,   14.9197,      3060
    43,    0.0000,   46.8337,   44.8053,   21.5858,  135.1455,  133.0677,   10.9423,   35.9188,   41.0727,   10.7685,    0.0000,    0.0000,    0.0000,  109.2522,    0.0000,    0.0000,  684.4630,  684.6699,    0.0263,    0.0635,   10.4804,  110.8526,  480.4227,   65.6356,   13.6470,      3060
    44,    0.0000,   48.6217,   47.0816,   21.6935,  135.5540,  133.5884,   10.8627,   35.1448,   39.7874,   11.1420,    0.0000,    0.0000,    0.0000,  107.5285,    0.0000,    0.0000,  687.9193,  688.1395,    0.0268,    0.0686,   11.1218,  109.0954,  483.8007,   66.6219,   13.3218,      3060
    45,    0.0000,   49.1362,   48.4010,   21.7294,  135.2073,  133.3084,   10.8496,   35.0032,   41.4549,   11.0466,    0.0000,    0.0000,    0.0000,  107.7557,    0.0000,    0.0000,  687.9301,  688.1537,    0.0270,    0.0711,   10.6302,  109.6045,  486.4420,   63.9997,   14.1899,      3060
    46,    0.0000,   47.5549,   48.9438,   21.5548,  135.8412,  133.1114,   11.4409,   32.4518,   42.2094,   11.1787,    0.0000,    0.0000,    0.0000,  104.6555,    0.0000,    0.0000,  688.3453,  688.5643,    0.0253,    0.0688,   13.0839,  106.3467,  484.6047,   63.9916,   14.8902,      3060
    47,    0.0000,   47.5001,   56.3138,   19.0231,  135.5319,  133.9333,   11.0181,   30.6763,   40.0806,   10.8875,    0.0000,    0.0000,    0.0000,  109.0504,    0.0000,    0.0000,  686.8081,  687.0273,    0.0262,    0.0700,   10.8108,  110.7214,  485.2656,   61.6841,   14.7732,      3060
    48,    0.0000,   50.0920,   57.8442,    1.0646,  131.4916,  130.0751,   10.2573,   29.2206,   60.5755,    9.8061,    0.0000,    0.0000,    0.0000,  114.8278,    0.0000,    0.0000,  652.3408,  652.5536,    0.0268,    0.0700,    4.3645,  115.4121,  480.5877,   44.5203,    6.7913,      3060
    49,    0.0000,   43.9369,  143.6365,    3.7045,   69.3553,   66.3694,   11.5025,   17.5501,  121.0938,   12.1971,    0.0000,    0.0000,    0.0000,  108.6970,    0.0000,    0.0000,  690.3041,  690.4623,    0.0159,    0.0424,   11.4862,  110.4863,  489.5404,   59.5940,   14.5774,      3060
    50,    0.0000,   45.6621,  142.1065,    3.8767,   67.6481,   65.8942,   11.0126,   17.8105,  122.8584,   11.6270,    0.0000,    0.0000,    0.0000,  110.7307,    0.0000,    0.0000,  689.6942,  689.8515,    0.0157,    0.0411,   10.5871,  112.4739,  488.6651,   59.9111,   14.3523,      3060
    51,    0.0000,   48.4177,  142.9678,    3.7354,   67.9180,   65.8515,   11.0228,   16.1917,  122.4001,   11.5258,    0.0000,    0.0000,    0.0000,  107.8073,    0.0000,    0.0000,  689.5165,  689.6796,    0.0167,    0.0437,   10.9461,  110.1413,  490.2126,   59.6216,   14.2789,      3060
    52,    0.0000,   44.0646,  142.2123,    3.7411,   67.4879,   65.8537,   11.1372,   19.9305,  123.0667,   11.6950,    0.0000,    0.0000,    0.0000,  109.4134,    0.0000,    0.0000,  689.7573,  689.9207,    0.0160,    0.0432,   10.8515,  111.2689,  489.3601,   60.0867,   14.1372,      3060
    53,    0.0000,   46.6914,  138.4466,    3.6618,   67.5246,   65.6918,   11.3076,   15.9005,  126.1998,   11.1432,    0.0000,    0.0000,    0.0000,  108.8786,    0.0000,    0.0000,  685.1137,  685.2683,    0.0161,    0.0389,   10.8164,  110.7611,  486.7319,   57.6176,   15.7188,      3060
    54,    0.0000,   45.7306,  141.5509,    3.7285,   67.1935,   65.5938,   11.4412,   17.4476,  120.6227,   11.3645,    0.0000,    0.0000,    0.0000,  107.1337,    0.0000,    0.0000,  679.4665,  679.6155,    0.0155,    0.0356,   10.6737,  109.3379,  484.8348,   53.4902,   17.9915,      3060
    55,    0.0000,   49.4021,  135.9586,    3.1449,   67.4685,   65.4806,   11.4948,   11.9765,  121.5015,   11.3669,    0.0000,    0.0000,    0.0000,  102.9026,    0.0000,    0.0000,  672.1185,  672.2751,    0.0153,    0.0388,   11.2670,  105.7987,  477.9822,   53.3643,   19.6556,      3060
    56,    0.0000,   33.4176,  146.4753,    3.2038,   67.3206,   65.4940,   11.3599,   32.2705,  115.6056,   11.2963,    0.0000,    0.0000,    0.0000,  103.2366,    0.0000,    0.0000,  678.5456,  678.7108,    0.0160,    0.0402,   11.1151,  106.3458,  486.6336,   52.8200,   17.8243,      3060
    57,    0.0000,   28.4470,  145.0077,    3.4328,   67.0484,   66.0619,   11.3468,   31.9063,  116.7262,   11.5539,    0.0000,    0.0000,    0.0000,  110.1359,    0.0000,    0.0000,  686.4574,  686.6177,    0.0160,    0.0412,   10.9340,  112.0018,  481.7056,   60.6180,   16.4531,      3060
    58,    0.0000,   29.8917,  144.6269,    3.6813,   67.1268,   66.0252,   11.3217,   31.8427,  118.5931,   11.5419,    0.0000,    0.0000,    0.0000,  108.8154,    0.0000,    0.0000,  687.5658,  687.7191,    0.0147,    0.0389,   10.8332,  111.4509,  484.8332,   59.5219,   16.2962,      3060
    59,    0.0000,   30.6836,  147.3501,    3.7992,   67.1531,   65.9611,   11.3760,   31.1386,  116.9459,   11.4889,    0.0000,    0.0000,    0.0000,  110.7076,    0.0000,    0.0000,  689.0412,  689.1992,    0.0160,    0.0401,   10.1952,  113.3153,  486.0689,   60.8326,   15.2480,      3060
    60,    0.0000,   25.4239,  147.9559,    3.6381,   67.2915,   65.9838,   11.3021,   35.8973,  115.7360,   11.4686,    0.0000,    0.0000,    0.0000,  111.3951,    0.0000,    0.0000,  689.1855,  689.3416,    0.0155,    0.0394,   10.5959,  113.1359,  484.8704,   62.0228,   14.1993,      3060
    61,    0.0000,   27.0527,  150.9691,    3.3085,   67.2728,   65.2827,   11.3858,   33.4377,  115.7351,   11.6734,    0.0000,    0.0000,    0.0000,  110.5034,    0.0000,    0.0000,  690.8397,  690.9986,    0.0156,    0.0425,   11.0527,  112.2815,  486.2805,   62.7827,   13.6839,      3060
    62,    0.0000,   27.1670,  161.3445,    3.0044,   66.6321,   65.1867,   11.3660,   33.0541,  109.0758,   11.5292,    0.0000,    0.0000,    0.0000,  108.8031,    0.0000,    0.0000,  690.9133,  691.0735,    0.0162,    0.0417,   10.8828,  111.2288,  488.5273,   60.9230,   14.7642,      3060
    63,    0.0000,   29.5025,  189.0189,    2.4047,   66.6250,   65.2033,   11.4124,   26.1289,   86.2945,   11.4268,    0.0000,    0.0000,    0.0000,  108.9374,    0.0000,    0.0000,  690.9829,  691.1456,    0.0160,    0.0431,   10.5747,  111.2735,  488.1765,   62.3240,   14.5409,      3060
    64,    0.0000,   32.5207,  252.0564,    2.6442,   66.5446,   66.3376,   11.3712,   26.9154,   22.0497,   11.3954,    0.0000,    0.0000,    0.0000,  105.8532,    0.0000,    0.0000,  690.6641,  690.8266,    0.0167,    0.0434,   10.5258,  107.9178,  491.9910,   62.3120,   14.0115,      3060
    65,    0.0000,   41.1229,  247.1744,    3.0571,   66.5714,   65.6452,   10.0574,   26.0934,   21.4842,   10.5257,    0.0000,    0.0000,    0.0000,  100.7884,    0.0000,    0.0000,  680.2363,  680.3925,    0.0156,    0.0413,    9.5369,  102.6327,  491.8982,   59.2455,   12.5003,      3060
    66,    0.0000,   36.6533,  246.9114,    2.9176,   66.4824,   65.6234,   10.1195,   28.5550,   22.0518,   10.6455,    0.0000,    0.0000,    0.0000,  103.1824,    0.0000,    0.0000,  678.9554,  679.1075,    0.0153,    0.0414,    9.3029,  104.6306,  490.1153,   56.9498,   13.8949,      3060
    67,    0.0000,   39.7247,  245.2954,    2.8597,   66.3856,   65.7415,   10.1474,   25.9741,   21.9982,   10.6729,    0.0000,    0.0000,    0.0000,  101.5341,    0.0000,    0.0000,  678.1583,  678.3098,    0.0153,    0.0394,    9.3168,  103.0930,  488.9585,   57.8897,   14.9059,      3060
    68,    0.0000,   40.3705,  240.9559,    2.7689,   66.3370,   65.9411,   10.0045,   27.2412,   20.4809,   10.4997,    0.0000,    0.0000,    0.0000,   98.8784,    0.0000,    0.0000,  670.5470,  670.7064,    0.0163,    0.0411,    9.7207,  100.3943,  484.7640,   53.0064,   18.0450,      3060
    69,    0.0000,   44.1453,  235.6950,    1.8756,   66.4766,   66.0343,   10.3799,   23.6017,   20.0523,   10.2619,    0.0000,    0.0000,    0.0000,   94.2983,    0.0000,    0.0000,  662.9462,  663.1049,    0.0163,    0.0401,   10.8247,   95.9845,  478.6818,   53.2697,   19.0092,      3060
    70,    0.0000,   46.2693,  233.7103,    2.3473,   66.7715,   65.6390,   10.2791,   19.4369,   22.7845,   10.7875,    0.0000,    0.0000,    0.0000,  102.5382,    0.0000,    0.0000,  668.2636,  668.4214,    0.0161,    0.0401,    9.2271,  104.0552,  478.1938,   55.8875,   17.1039,      3060
    71,    0.0000,   41.3664,  235.1229,    2.6653,   66.8393,   65.5150,   10.1365,   19.9601,   22.3875,   10.4819,    0.0000,    0.0000,    0.0000,  109.4261,    0.0000,    0.0000,  674.1282,  674.2748,    0.0153,    0.0360,    9.1793,  110.7568,  474.6224,   60.8076,   15.0706,      3060
    72,    0.0000,   38.4433,  237.9165,    2.8220,   66.7503,   65.4674,   10.1365,   24.7601,   22.2020,   10.3096,    0.0000,    0.0000,    0.0000,  109.0759,    0.0000,    0.0000,  674.7777,  674.9255,    0.0159,    0.0369,    8.7971,  110.7906,  478.9608,   59.0031,   14.3435,      3060
    73,    0.0000,   42.0840,  239.7386,    3.3971,   66.8914,   65.9795,   10.3104,   20.3036,   22.6369,   10.9697,    0.0000,    0.0000,    0.0000,  106.6749,    0.0000,    0.0000,  682.1904,  682.3440,    0.0154,    0.0392,    9.9058,  108.5675,  482.4901,   62.9042,   13.6628,      3060
