OOPS_STATS ------------------------------------ Timing Statistics -------------------------------------
OOPS_STATS --------------------------------------------------------------------------------------------
OOPS_STATS Name                                                :   total (ms)   count    time/call (ms)
OOPS_STATS oops::GeometryData::setLocalTree                    :        11.11       5            2.2210
OOPS_STATS oops::GeometryData::setMeshAndTriangulation         :        37.34       5            7.4687
OOPS_STATS oops::GetValuePosts::preProcessModelData            :        88.94       3           29.6462
nid003592.dogwood.wcoss2.ncep.noaa.gov 0: OOPS_STATS oops::GetValueTLADs::preProcessModelData            :       416.41     204            2.0412
OOPS_STATS oops::GetValues::GetValues                          :       161.34       5           32.2687
OOPS_STATS oops::GetValues::fillGeoVaLs                        :        62.85       5           12.5700
OOPS_STATS oops::GetValues::fillGeoVaLsAD                      :        81.91     102            0.8031
OOPS_STATS oops::GetValues::fillGeoVaLsTL                      :      2174.65     100           21.7465
OOPS_STATS oops::GetValues::finalize                           :         3.60       5            0.7198
OOPS_STATS oops::GetValues::finalizeAD                         :        67.65     102            0.6633
OOPS_STATS oops::GetValues::finalizeTL                         :        30.60     100            0.3060
OOPS_STATS oops::GetValues::initialize                         :         0.05       5            0.0096
OOPS_STATS oops::GetValues::initializeAD                       :         0.31     102            0.0030
OOPS_STATS oops::GetValues::initializeTL                       :         1.11     100            0.0111
nid003592.dogwood.wcoss2.ncep.noaa.gov 0: OOPS_STATS oops::GetValues::process                            :         6.70       5            1.3399
OOPS_STATS oops::GetValues::processAD                          :        92.78     102            0.9096
OOPS_STATS oops::GetValues::processTL                          :        66.58     100            0.6658
OOPS_STATS oops::Increment::Increment                          :     11706.21    7031            1.6649
OOPS_STATS oops::Increment::axpy                               :      9047.67    2750            3.2901
OOPS_STATS oops::Increment::deserialize                        :      8261.93    3060            2.7000
OOPS_STATS oops::Increment::diff                               :      1146.39      65           17.6368
OOPS_STATS oops::Increment::dot_product_with                   :     24162.97    2959            8.1659
OOPS_STATS oops::Increment::fromFieldSet                       :     20998.68    3162            6.6409
OOPS_STATS oops::Increment::operator*=                         :       538.74     302            1.7839
OOPS_STATS oops::Increment::operator+=                         :      8278.08    3522            2.3504
